label,name,category,subcategory,organization,description,website,address,address_uf,address_uf_nb,source,comment,tags,submittedBy,submissionTimestamp,github_hash
voxel,Voxel,gaming,,voxel,,https://t.me/voxel_verse_bot,0:1C347B7259E57602962678306C2705A58C852B0E5DFEB01E71EC1ABC904CEE20,EQAcNHtyWeV2ApYmeDBsJwWljIUrDl3-sB5x7Bq8kEzuIFS3,UQAcNHtyWeV2ApYmeDBsJwWljIUrDl3-sB5x7Bq8kEzuIAly,,,['has-custodial-wallets'],dddwhdd,2025-04-15T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
voxel,Voxel,gaming,,voxel,,https://t.me/voxel_verse_bot,0:17FB5AF1ABA35206F98AF641F96E83209FD3889E157713315BAEBD02031E4733,EQAX-1rxq6NSBvmK9kH5boMgn9OInhV3EzFbrr0CAx5HM0kE,UQAX-1rxq6NSBvmK9kH5boMgn9OInhV3EzFbrr0CAx5HMxTB,,,['has-custodial-wallets'],Lucky0041,2025-06-29T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
voxel,Voxel,gaming,,voxel,,https://t.me/voxel_verse_bot,0:7D43DA0A59244FB52F7C598C72F574A2F4A9A8B918D01D97B695F0F1E489CEA3,EQB9Q9oKWSRPtS98WYxy9XSi9KmouRjQHZe2lfDx5InOo67t,UQB9Q9oKWSRPtS98WYxy9XSi9KmouRjQHZe2lfDx5InOo_Mo,,Telegram Stars cashout address.,[],ef-code,2025-09-13T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
bountybay,Bountybay,gaming,,bountybay,,https://t.me/bountybay_bot,0:2378AEE376122275AE8BEFCFCAA4E4CBE07958F3339CBAA6AC5A469E9B536FE2,EQAjeK7jdhIida6L78_KpOTL4HlY8zOcuqasWkaem1Nv4t1-,UQAjeK7jdhIida6L78_KpOTL4HlY8zOcuqasWkaem1Nv4oC7,,,[],ohld,2025-01-14T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
bountybay,Bountybay,gaming,,bountybay,,https://t.me/bountybay_bot,0:3321414DF0C277706422281A87AFE08E1C0CF40FB7CD9C20F69079DE27198AF6,EQAzIUFN8MJ3cGQiKBqHr-COHAz0D7fNnCD2kHneJxmK9gPd,UQAzIUFN8MJ3cGQiKBqHr-COHAz0D7fNnCD2kHneJxmK9l4Y,,,[],ohld,2025-01-14T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
bountybay,Bountybay,gaming,,bountybay,,https://t.me/bountybay_bot,0:B72D60587A4329E05A0F97934D95666C3D05646A2B057712465338095F9117B4,EQC3LWBYekMp4FoPl5NNlWZsPQVkaisFdxJGUzgJX5EXtDAs,UQC3LWBYekMp4FoPl5NNlWZsPQVkaisFdxJGUzgJX5EXtG3p,,,[],rawen7485,2025-04-29T12:45:56Z,1200941b128914d843fc08fee5a832a5176dda9f
bountybay,Bountybay,gaming,,bountybay,,https://t.me/bountybay_bot,0:F057C722B6BB57D7A1756F0BD8F1689BFA77A1232D4E371752FEA2EBE212E4DC,EQDwV8citrtX16F1bwvY8Wib-nehIy1ONxdS_qLr4hLk3FS-,UQDwV8citrtX16F1bwvY8Wib-nehIy1ONxdS_qLr4hLk3Al7,,,[],rawen7485,2025-04-29T12:45:56Z,1200941b128914d843fc08fee5a832a5176dda9f
agentx,Agentx,gaming,,agentx,,https://t.me/agntxbot,0:59BABFC6DED58990FC904A3F2E74CAC7E4FE17AD3FE381B8375EFC67558B5EDA,EQBZur_G3tWJkPyQSj8udMrH5P4XrT_jgbg3XvxnVYte2pU5,UQBZur_G3tWJkPyQSj8udMrH5P4XrT_jgbg3XvxnVYte2sj8,,Ton Payments,[],ohld,2025-05-29T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
agentx,Agentx,gaming,,agentx,,https://t.me/agntxbot,0:603D1EB86AA31F864351E89716555D0DD6C8E6340965BEDBFAF3CC67F2C25EF5,EQBgPR64aqMfhkNR6JcWVV0N1sjmNAllvtv688xn8sJe9YvE,UQBgPR64aqMfhkNR6JcWVV0N1sjmNAllvtv688xn8sJe9dYB,,USDT Payments,[],ohld,2025-07-08T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
pawn_stars,Pawn stars,gaming,gambling,pawn_stars,,https://t.me/pawnstars_bot,0:082D0F1E02BBC1FE05A05BBEA64822F783A0BED6F9372CD49D7174BDCF0D9059,EQAILQ8eArvB_gWgW76mSCL3g6C-1vk3LNSdcXS9zw2QWQoK,UQAILQ8eArvB_gWgW76mSCL3g6C-1vk3LNSdcXS9zw2QWVfP,,,['telegram-gifts'],Lucky0041,2026-02-03T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
klikado,Klikado,gaming,gambling,klikado,,https://t.me/KlikadoBot,0:D5E3326BB378901655E855285F797347B08864DF977BAA02DF7EDAAB16AD1005,EQDV4zJrs3iQFlXoVShfeXNHsIhk35d7qgLfftqrFq0QBe49,UQDV4zJrs3iQFlXoVShfeXNHsIhk35d7qgLfftqrFq0QBbP4,,,[],Lucky0041,2026-03-03T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
gilf,Gilf,gaming,gambling,gilf,,https://t.me/GILF_gamebot,0:238151695F3D7DB2BAC3C663466403A2B04C01BDAB9374716B50D2C976725FE0,EQAjgVFpXz19srrDxmNGZAOisEwBvauTdHFrUNLJdnJf4Cjb,UQAjgVFpXz19srrDxmNGZAOisEwBvauTdHFrUNLJdnJf4HUe,,,[],Lucky0041,2025-08-25T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
ton_blastrun,Ton blastrun,gaming,,ton_blastrun,,https://t.me/TRXCoinHubBot,0:66ADF5A2FC4EA8583B1AC4B3AE727FEB0D1F26B1BF7A1958807BDC5CB79AAAFD,EQBmrfWi_E6oWDsaxLOucn_rDR8msb96GViAe9xct5qq_R9t,UQBmrfWi_E6oWDsaxLOucn_rDR8msb96GViAe9xct5qq_UKo,,,[],Lucky0041,2025-09-08T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
battles,Battles,gaming,gambling,battles,,https://t.me/battles_official_bot,0:6E036AA0435EA5F6D2923B65C39B9B9C234A3963D8A5721328774313F2ED7C15,EQBuA2qgQ16l9tKSO2XDm5ucI0o5Y9ilchMod0MT8u18Fc5B,UQBuA2qgQ16l9tKSO2XDm5ucI0o5Y9ilchMod0MT8u18FZOE,,,[],Lucky0041,2025-08-20T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
battles,Battles,gaming,gambling,battles,,https://t.me/battles_official_bot,0:287F9AD70E1E8C7C7439EA473597A0E31A8BF72A880F4747904E05A1080D498C,EQAof5rXDh6MfHQ56kc1l6DjGov3KogPR0eQTgWhCA1JjHca,UQAof5rXDh6MfHQ56kc1l6DjGov3KogPR0eQTgWhCA1JjCrf,,Telegram Stars cashout address.,[],EF-Code,2025-09-12T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
litrbull,Litrbull,gaming,,dreamstation,,https://t.me/litrbullbot,0:2E2DBEC255AFF738B46C3E2B0406B66B87095657620D830C1EB09FA128A1F742,EQAuLb7CVa_3OLRsPisEBrZrhwlWV2INgwwesJ-hKKH3Qnj0,UQAuLb7CVa_3OLRsPisEBrZrhwlWV2INgwwesJ-hKKH3QiUx,,LITR token,[],shuva10v,2025-05-21T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
litrbull,Litrbull,gaming,,dreamstation,,https://t.me/litrbullbot,0:798C9070459858D258B043F15D9B4E636643365E25052FB4D5D095B5A4C98409,EQB5jJBwRZhY0liwQ_Fdm05jZkM2XiUFL7TV0JW1pMmECXx1,UQB5jJBwRZhY0liwQ_Fdm05jZkM2XiUFL7TV0JW1pMmECSGw,,Airdrop address,[],shuva10v,2025-05-21T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
bitz,Bitz,gaming,gambling,bitz,,https://bitz.io,0:AE1C3EF9C127F407B5C239549DAE64C3EB0CD366130B95FA46DCCAA96FDF6C0C,EQCuHD75wSf0B7XCOVSdrmTD6wzTZhMLlfpG3Mqpb99sDOPs,UQCuHD75wSf0B7XCOVSdrmTD6wzTZhMLlfpG3Mqpb99sDL4p,,,['has-custodial-wallets'],Lucky0041,2025-11-28T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
bitz,Bitz,gaming,gambling,bitz,,https://bitz.io,0:5EB976E79F0515B66E20404144A9A333681635B21C73F7FA23CD16CD11A72D51,EQBeuXbnnwUVtm4gQEFEqaMzaBY1shxz9_ojzRbNEactUWZJ,UQBeuXbnnwUVtm4gQEFEqaMzaBY1shxz9_ojzRbNEactUTuM,,Gas top‑up address,['has-custodial-wallets'],Lucky0041,2025-11-28T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
tapps,Tapps,gaming,,tapps,,https://t.me/tapps_bot,0:DB0B38C204CC40754969AFAA5BD055F37C315C289CA44DC8A2DA893E736C7822,EQDbCzjCBMxAdUlpr6pb0FXzfDFcKJykTcii2ok-c2x4In3t,UQDbCzjCBMxAdUlpr6pb0FXzfDFcKJykTcii2ok-c2x4IiAo,,,[],Lucky0041,2025-11-28T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
shakestars,Shakestars,gaming,,shakestars,,https://t.me/Shakestarsbot,0:6B9B722B0A2102986A7EDF5CB5DB48F0620F863D1DF80E7DCE569EE05FABA17D,EQBrm3IrCiECmGp-31y120jwYg-GPR34Dn3OVp7gX6uhfUbx,UQBrm3IrCiECmGp-31y120jwYg-GPR34Dn3OVp7gX6uhfRs0,,,[],rdmcd,2025-03-13T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
shakestars,Shakestars,gaming,,shakestars,,https://t.me/Shakestarsbot,0:F6B2A5006FCB4893659CBBCF08DB6AA6BD138A933DA66C78419CEFCCA6DB76E4,EQD2sqUAb8tIk2Wcu88I22qmvROKkz2mbHhBnO_Mptt25OXw,UQD2sqUAb8tIk2Wcu88I22qmvROKkz2mbHhBnO_Mptt25Lg1,,,[],Lucky0041,2025-11-28T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
cerminer,Cerminer,gaming,,cerminer,,https://t.me/CerMiner_bot,0:600268307A84795C07F74756279F1F71BE42ADFF67085CE6ADA1D66301769EB8,EQBgAmgweoR5XAf3R1Ynnx9xvkKt_2cIXOatodZjAXaeuFTk,UQBgAmgweoR5XAf3R1Ynnx9xvkKt_2cIXOatodZjAXaeuAkh,,,[],Lucky0041,2025-08-27T00:00:26Z,1200941b128914d843fc08fee5a832a5176dda9f
vave,Vave,gaming,gambling,vave,,https://vavez0ne.com,0:2A094CF5485EE1790899D0AD211B6B52DFE74481096D26C095884AA0B27DB807,EQAqCUz1SF7heQiZ0K0hG2tS3-dEgQltJsCViEqgsn24B3bC,UQAqCUz1SF7heQiZ0K0hG2tS3-dEgQltJsCViEqgsn24BysH,,,['has-custodial-wallets'],Lucky0041,2025-12-10T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
gangsta_monkey,Gangsta monkey,gaming,,gangsta_monkey,,https://t.me/gangstaMonkey_bot,0:08CA19988F4F0E5038623420E30BBBB59CEF93827B4C0FE84EF3E89F041AB6F0,EQAIyhmYj08OUDhiNCDjC7u1nO-TgntMD-hO8-ifBBq28Ddr,UQAIyhmYj08OUDhiNCDjC7u1nO-TgntMD-hO8-ifBBq28Gqu,,,[],ohld,2025-05-29T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
shardify,Shardify,gaming,,shardify,,https://shardify.io,0:E6398799F27DFC7C9031E539A2F3EB03A21A4CBBEBE5447EF48C466033725EFD,EQDmOYeZ8n38fJAx5Tmi8-sDohpMu-vlRH70jEZgM3Je_dOE,UQDmOYeZ8n38fJAx5Tmi8-sDohpMu-vlRH70jEZgM3Je_Y5B,,Shards of Notcoin NFT bond / wNOT treasury,[],ohld,2025-03-19T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
ton_forgex,Ton forgex,gaming,,ton_forgex,,https://t.me/ETHChain_Bot,0:0E364EFDF3B60F74D6D835737C000819046531849F1AC791F975FDAC0C29B1A7,EQAONk7987YPdNbYNXN8AAgZBGUxhJ8ax5H5df2sDCmxp_5V,UQAONk7987YPdNbYNXN8AAgZBGUxhJ8ax5H5df2sDCmxp6OQ,,,[],Lucky0041,2025-09-08T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
civilizationton_bot,Civilizationton bot,gaming,,civilizationton_bot,,https://t.me/CivilizationTon_bot,0:3EB8A07B951B08CDD8D5CD80980CE91B3CA50C79165C0A07A1447857EE13B067,EQA-uKB7lRsIzdjVzYCYDOkbPKUMeRZcCgehRHhX7hOwZ8lT,UQA-uKB7lRsIzdjVzYCYDOkbPKUMeRZcCgehRHhX7hOwZ5SW,,planet-ton.ton,[],Lucky0041,2025-08-05T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
civilizationton_bot,Civilizationton bot,gaming,,civilizationton_bot,,https://t.me/CivilizationTon_bot,0:74A7BF3B0C737D633BE5174512D31E5EEC295A9F7BB295856C355D1D82C06CEA,EQB0p787DHN9YzvlF0US0x5e7Clan3uylYVsNV0dgsBs6pku,UQB0p787DHN9YzvlF0US0x5e7Clan3uylYVsNV0dgsBs6sTr,,,[],Lucky0041,2025-09-02T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:2583292663231677CAA73B6945B261029F802240EE03B8B0B635C0442EA05B31,EQAlgykmYyMWd8qnO2lFsmECn4AiQO4DuLC2NcBELqBbMdhd,UQAlgykmYyMWd8qnO2lFsmECn4AiQO4DuLC2NcBELqBbMYWY,,,[],shuva10v,2025-04-09T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:9191ABC41E2A9FC9B075A7FCDF290120D36A96BDC5E43871E24F8E7582CAC5EA,EQCRkavEHiqfybB1p_zfKQEg02qWvcXkOHHiT451gsrF6i-p,UQCRkavEHiqfybB1p_zfKQEg02qWvcXkOHHiT451gsrF6nJs,,,[],shuva10v,2025-04-17T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:C477B460D41FC2894E4F9BDC3EA40A6E1EA9F300125B5BB8FAE585BD1664BB75,EQDEd7Rg1B_CiU5Pm9w-pApuHqnzABJbW7j65YW9FmS7dWtH,UQDEd7Rg1B_CiU5Pm9w-pApuHqnzABJbW7j65YW9FmS7dTaC,,,[],shuva10v,2025-04-23T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:7D18F0D0D49083C05DB2C6EC09C046088BD6968F6A6D1203C90B9B13D45C7B6C,EQB9GPDQ1JCDwF2yxuwJwEYIi9aWj2ptEgPJC5sT1Fx7bLJa,UQB9GPDQ1JCDwF2yxuwJwEYIi9aWj2ptEgPJC5sT1Fx7bO-f,,,[],shuva10v,2025-05-05T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:0DEBC66D8730AF7915D44A215B356648223CCAC63995522635A65FBEE7AB7F74,EQAN68ZthzCveRXUSiFbNWZIIjzKxjmVUiY1pl--56t_dL6a,UQAN68ZthzCveRXUSiFbNWZIIjzKxjmVUiY1pl--56t_dONf,,,[],shuva10v,2025-05-05T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:524E2798F25BA5763A98CB1D0BBE492117E86C732C643D40BAAA821DF3A96701,EQBSTieY8luldjqYyx0LvkkhF-hscyxkPUC6qoId86lnAc7S,UQBSTieY8luldjqYyx0LvkkhF-hscyxkPUC6qoId86lnAZMX,,,[],shuva10v,2025-05-17T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:65A69F75775483176FEAF53AA3EEA16CFD8411E544A7ED9F03A5C770D85EC040,EQBlpp91d1SDF2_q9Tqj7qFs_YQR5USn7Z8Dpcdw2F7AQBP4,UQBlpp91d1SDF2_q9Tqj7qFs_YQR5USn7Z8Dpcdw2F7AQE49,,,[],shuva10v,2025-05-17T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:0C452AE253C3AF828F45800C1B4D0287F45D15E0E731B862788AF23CD2784DBB,EQAMRSriU8Ovgo9FgAwbTQKH9F0V4OcxuGJ4ivI80nhNu4Kq,UQAMRSriU8Ovgo9FgAwbTQKH9F0V4OcxuGJ4ivI80nhNu99v,,,[],shuva10v,2025-05-17T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:04964403E85B4A65AE824E7B0907B87DF0DF251B2BC7F2B77EA46B984A665E48,EQAElkQD6FtKZa6CTnsJB7h98N8lGyvH8rd-pGuYSmZeSCgM,UQAElkQD6FtKZa6CTnsJB7h98N8lGyvH8rd-pGuYSmZeSHXJ,,,[],shuva10v,2025-07-07T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
planetx,Planet X,gaming,,planetx,,https://t.me/PlanetX_gamebot,0:1402AB8DA0F31180BDD8E7A460184BF6C012E164CC029D76F112BCFB97B99A0A,EQAUAquNoPMRgL3Y56RgGEv2wBLhZMwCnXbxErz7l7maChYh,UQAUAquNoPMRgL3Y56RgGEv2wBLhZMwCnXbxErz7l7maCkvk,,,[],Lucky0041,2025-08-31T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
iterra,Iterra,gaming,,iterra,,https://t.me/TheiTerra_bot,0:FDCB1862FE90AB782580C2BBE33A09E2370936EE3141558D3C5885FB74C89225,EQD9yxhi_pCreCWAwrvjOgniNwk27jFBVY08WIX7dMiSJaEn,UQD9yxhi_pCreCWAwrvjOgniNwk27jFBVY08WIX7dMiSJfzi,,,[],Lucky0041,2026-02-13T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
collection_hunt,Collection hunt,gaming,,collection_hunt,,https://t.me/collection_hunt_bot,0:4DC9A54D2029F7FF0AEC5ED8E0EBD0226B07346612585C6CA66887A6EB078300,EQBNyaVNICn3_wrsXtjg69Aiawc0ZhJYXGymaIem6weDABXf,UQBNyaVNICn3_wrsXtjg69Aiawc0ZhJYXGymaIem6weDAEga,,,[],dddwhdd,2025-03-16T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
cowtopia,Cowtopia,gaming,,cowtopia,,https://t.me/cowtopiabot,0:271F4A8C55CC6C14EE5ED26666E409CE15F9C3574FA99BA19F8D59AD8927C4C8,EQAnH0qMVcxsFO5e0mZm5AnOFfnDV0-pm6GfjVmtiSfEyLhZ,UQAnH0qMVcxsFO5e0mZm5AnOFfnDV0-pm6GfjVmtiSfEyOWc,,,[],ohld,2025-01-15T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
goldsticker,Goldsticker,gaming,,goldsticker,,https://t.me/gold_striker_bot,0:2F23E07D58ACAA8311C59C602D14C77A49B9840A7D4D57E43D2B89235B5DC17E,EQAvI-B9WKyqgxHFnGAtFMd6SbmECn1NV-Q9K4kjW13BfnEd,UQAvI-B9WKyqgxHFnGAtFMd6SbmECn1NV-Q9K4kjW13BfizY,,,[],shuva101,2025-05-23T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
goldsticker,Goldsticker,gaming,,goldsticker,,https://t.me/gold_striker_bot,0:4AD4ECDCC58708725F319F0FDCFD831816EF84BF261FABA6018C797AE7EF11EC,EQBK1OzcxYcIcl8xnw_c_YMYFu-EvyYfq6YBjHl65-8R7HlM,UQBK1OzcxYcIcl8xnw_c_YMYFu-EvyYfq6YBjHl65-8R7CSJ,,Telegram stars cashout address,[],EF-Code,2025-12-12T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
tonmason,Tonmason,gaming,,tonmason,,https://tonmason.com,0:D54C638D818707DF94FA23A7E541D49E5ABBE43D9C1597E694EA0657F457FF98,EQDVTGONgYcH35T6I6flQdSeWrvkPZwVl-aU6gZX9Ff_mDdl,UQDVTGONgYcH35T6I6flQdSeWrvkPZwVl-aU6gZX9Ff_mGqg,,,['has-custodial-wallets'],Lucky0041,2026-03-29T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
plants_vs_zombies,Plants vs zombies,gaming,,plants_vs_zombies,,https://t.me/PvZplaybot,0:1966CB135399DD218ED7059A4E82903108A1FAB4ACEC12E765DE3F67CE555BE6,EQAZZssTU5ndIY7XBZpOgpAxCKH6tKzsEudl3j9nzlVb5hHH,UQAZZssTU5ndIY7XBZpOgpAxCKH6tKzsEudl3j9nzlVb5kwC,,,[],Lucky0041,2026-03-29T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
hexmine,Hexmine,gaming,,hexmine,,https://t.me/HexMine_bot,0:561D3960CE0F9CD609E335F69C35AB74367D22C249A55DA91875FC6046ECAED0,EQBWHTlgzg-c1gnjNfacNat0Nn0iwkmlXakYdfxgRuyu0Hes,UQBWHTlgzg-c1gnjNfacNat0Nn0iwkmlXakYdfxgRuyu0Cpp,,,[],Lucky0041,2025-09-08T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
not_pixel,Not pixel,gaming,,not_pixel,,https://t.me/notpixel,0:D3C3061CC5900FF08CEC1D37BAFF091FCE4E5C26B211D47E8EE649728093BB11,EQDTwwYcxZAP8IzsHTe6_wkfzk5cJrIR1H6O5klygJO7EdES,UQDTwwYcxZAP8IzsHTe6_wkfzk5cJrIR1H6O5klygJO7EYzX,,,[],ohld,2025-01-01T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
not_pixel,Not pixel,gaming,,not_pixel,,https://t.me/notpixel,0:6FDDEC4128B990727D859BA5659ED0089D6FA37B560FE14E7D809C5A3BAD8D0B,EQBv3exBKLmQcn2Fm6VlntAInW-je1YP4U59gJxaO62NC37i,UQBv3exBKLmQcn2Fm6VlntAInW-je1YP4U59gJxaO62NCyMn,,notpixel.ton,[],ohld,2025-01-15T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
not_pixel,Not pixel,gaming,,not_pixel,,https://t.me/notpixel,0:77162A27FC07F9B2ACDBF3C000818C8F1468C67350FDFDA2FF98F078F1A930F6,EQB3Fion_Af5sqzb88AAgYyPFGjGc1D9_aL_mPB48akw9vFu,UQB3Fion_Af5sqzb88AAgYyPFGjGc1D9_aL_mPB48akw9qyr,,PX claim contract,[],shuva10v,2025-01-23T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
not_pixel,Not pixel,gaming,,not_pixel,,https://t.me/notpixel,0:1212165F4D6B6E23AF34D6FD6D90E264306AEBE72CA72C6F1C93B3AE13F2AE91,EQASEhZfTWtuI6801v1tkOJkMGrr5yynLG8ck7OuE_KukX5t,UQASEhZfTWtuI6801v1tkOJkMGrr5yynLG8ck7OuE_KukSOo,,PX staking NFT collection,['nft'],Caranell,2025-05-01T00:00:01Z,1200941b128914d843fc08fee5a832a5176dda9f
